"ID","Label","Data Type","Mandatory","Decimals","Min Length","Max Length","Format Name","Content Length"
"AEENDAT","End Date of Adverse Event","date","True","","1","","","10"
"AEONGOONG","Ongoing at end of trial ONG","text","False","","1","","","0"
"AEONGOONGCD","Ongoing at end of trial ONG - Code","text","False","","1","","ONG","0"
"AESER","Serious Adverse Event","text","True","","1","","","2"
"AESERCD","Serious Adverse Event - Code","text","True","","1","","YESNO","1"
"AESERCAT1","Seriousness criteria 1","text","True","","1","","","0"
"AESERCAT1CD","Seriousness criteria 1 - Code","integer","True","","1","","SERIOUS","0"
"AESERCAT2","Seriousness criteria 2","text","True","","1","","","0"
"AESERCAT2CD","Seriousness criteria 2 - Code","integer","True","","1","","SERIOUS","0"
"AESERCAT3","Seriousness criteria 3","text","True","","1","","","0"
"AESERCAT3CD","Seriousness criteria 3 - Code","integer","True","","1","","SERIOUS","0"
"AESERCAT4","Seriousness criteria 4","text","True","","1","","","0"
"AESERCAT4CD","Seriousness criteria 4 - Code","integer","True","","1","","SERIOUS","0"
"AESERCAT5","Seriousness criteria 5","text","True","","1","","","0"
"AESERCAT5CD","Seriousness criteria 5 - Code","integer","True","","1","","SERIOUS","0"
"AESERCAT6","Seriousness criteria 6","text","True","","1","","","0"
"AESERCAT6CD","Seriousness criteria 6 - Code","integer","True","","1","","SERIOUS","0"
"AEDESC","Event description","text","True","","1","","","0"
"AESEV","Intensity","text","True","","1","","","8"
"AESEVCD","Intensity - Code","integer","True","","1","","SEVERITY","1"
"AEREL","Relationship","text","True","","1","","","2"
"AERELCD","Relationship - Code","text","True","","1","","YESNO","1"
"AEACNS0","Action taken withparticipant 0","text","True","","1","","","0"
"AEACNS0CD","Action taken withparticipant 0 - Code","text","True","","1","","ACNB","0"
"AEACNS1","Action taken withparticipant 1","text","True","","1","","","10"
"AEACNS1CD","Action taken withparticipant 1 - Code","text","True","","1","","ACNB","1"
"AEACNS2","Action taken withparticipant 2","text","True","","1","","","37"
"AEACNS2CD","Action taken withparticipant 2 - Code","text","True","","1","","ACNB","1"
"AEACNS3","Action taken withparticipant 3","text","True","","1","","","0"
"AEACNS3CD","Action taken withparticipant 3 - Code","text","True","","1","","ACNB","0"
"AEACNS4","Action taken withparticipant 4","text","True","","1","","","0"
"AEACNS4CD","Action taken withparticipant 4 - Code","text","True","","1","","ACNB","0"
"AEACNSOT","Action taken withparticipant OT","text","True","","1","","","0"
"AEACNSOTCD","Action taken withparticipant OT - Code","text","True","","1","","ACNB","0"
"AEACNSP","Action taken with participant other specification","text","True","","1","","","0"
"AEACNIMP1","Action taken with trial product 1","text","True","","1","","","39"
"AEACNIMP1CD","Action taken with trial product 1 - Code","text","True","","1","","ACNA","1"
"AEACNIMP4","Action taken with trial product 4","text","True","","1","","","0"
"AEACNIMP4CD","Action taken with trial product 4 - Code","text","True","","1","","ACNA","0"
"AEACNIMP5","Action taken with trial product 5","text","True","","1","","","17"
"AEACNIMP5CD","Action taken with trial product 5 - Code","text","True","","1","","ACNA","1"
"AEACNIMPNA","Action taken with trial product NA","text","True","","1","","","14"
"AEACNIMPNACD","Action taken with trial product NA - Code","text","True","","1","","ACNA","2"
"AEOUT","Outcome","text","True","","1","","","21"
"AEOUTCD","Outcome - Code","text","True","","1","","OUTCOME","1"
"CMSPID","Sponsor-Defined Identifier","double","True","0","1","","","1"
"CMTRT","Medication","text","True","","1","","","14"
"CMDOSTXT","Dose","text","True","","1","","","3"
"CMDOSU","Unit","text","True","","1","","","2"
"CMDOSUCD","Unit - Code","text","True","","1","","UNIT","2"
"CMDOSUSP","Unit Other specification","text","True","","1","","","0"
"CMFRQ","Frequency","text","True","","1","","","13"
"CMFRQCD","Frequency - Code","text","True","","1","","FRQ","3"
"CMFRQSP","Frequency Other Specification","text","True","","1","","","0"
"CMROUTE","Route","text","True","","1","","","4"
"CMROUTECD","Route - Code","text","True","","1","","ROUTE","4"
"CMROUTSP","Route Other Specification","text","True","","1","","","0"
"CMSTDAT","Start date","date","True","","1","","","10"
"CMENDAT","End date","date","True","","1","","","10"
"CMONGOONG","Ongoing at end of trial ONG","text","False","","1","","","0"
"CMONGOONGCD","Ongoing at end of trial ONG - Code","text","False","","1","","ONG","0"
"INDICAT1","Indication 1","text","True","","1","","","0"
"INDICAT1CD","Indication 1 - Code","text","True","","1","","INDICAT","0"
"INDICAT2","Indication 2","text","True","","1","","","13"
"INDICAT2CD","Indication 2 - Code","text","True","","1","","INDICAT","1"
"INDICAT3","Indication 3","text","True","","1","","","0"
"INDICAT3CD","Indication 3 - Code","text","True","","1","","INDICAT","0"
"INDICATOT","Indication OT","text","True","","1","","","0"
"INDICATOTCD","Indication OT - Code","text","True","","1","","INDICAT","0"
"CMINDMH1","Related to Medical History 1","text","True","","1","","","0"
"CMINDMH1ID","Related to Medical History 1 - Identifier","text","True","","1","","","0"
"CMINDAE1","Related toAdverse Event 1","text","True","","1","","","55"
"CMINDAE1ID","Related toAdverse Event 1 - Identifier","text","True","","1","","","12"
"CMINDOTSP","Specification of Other","text","True","","1","","","0"
"PRSPID","Sponsor-Defined Identifier","double","True","0","1","","","1"
"PRTRT","Procedure","text","True","","1","","","24"
"PRSTDAT","Start Date","date","True","","1","","","10"
"PRENDAT","End Date","date","True","","1","","","10"
"PRONGOONG","Ongoing at end of trial ONG","text","False","","1","","","0"
"PRONGOONGCD","Ongoing at end of trial ONG - Code","text","False","","1","","ONG","0"
"PRINDICAT1","Indication 1","text","True","","1","","","0"
"PRINDICAT1CD","Indication 1 - Code","text","True","","1","","INDICAT","0"
"PRINDICAT2","Indication 2","text","True","","1","","","13"
"PRINDICAT2CD","Indication 2 - Code","text","True","","1","","INDICAT","1"
"PRINDICAT3","Indication 3","text","True","","1","","","0"
"PRINDICAT3CD","Indication 3 - Code","text","True","","1","","INDICAT","0"
"PRINDICATOT","Indication OT","text","True","","1","","","0"
"PRINDICATOTCD","Indication OT - Code","text","True","","1","","INDICAT","0"
"PRINDMH1","Related to Medical History 1","text","True","","1","","","0"
"PRINDMH1ID","Related to Medical History 1 - Identifier","text","True","","1","","","0"
"PRINDAE1","Related toAdverse Event 1","text","True","","1","","","49"
"PRINDAE1ID","Related toAdverse Event 1 - Identifier","text","True","","1","","","12"
"PRINDOTSP","Specification of Other","text","True","","1","","","0"
"EXSPID","Sponsor-Defined Identifier","double","True","0","1","","","1"
"EXDOSE","Dose administered (mg)","double","True","2","1","","","3"
"EXSTDAT","Start date","date","True","","1","","","10"
"EXENDAT","End date","date","True","","1","","","10"
"EXSTAT","Reason for stopping treatment","text","True","","1","","","26"
"EXSTATCD","Reason for stopping treatment - Code","text","True","","1","","EXSTAT","1"
"EXAE1","Related to Adverse Event 1","text","True","","1","","","0"
"EXAE1ID","Related to Adverse Event 1 - Identifier","text","True","","1","","","0"
"EXSP","Primary reason other specification","text","True","","1","","","0"
